Date,Crown Temperature,Latitude,Longitude,,# Data cannot have gaps
1990-09-27,8.4,50.083333,14.416667,,# Header names can be anything
1990-09-28,9.3,,,,# Date should be YYYY-MM-DD
1990-09-29,11.4,,,,# Only first four columns are read
1990-09-30,13,,,,# First date should correspond to optimal seeding date
1990-10-01,12.9,,,,
1990-10-02,10.7,,,,
1990-10-03,10.9,,,,
1990-10-04,9.2,,,,
1990-10-05,8.2,,,,
1990-10-06,10.1,,,,
1990-10-07,11.4,,,,
1990-10-08,8.5,,,,
1990-10-09,8.2,,,,
1990-10-10,8.1,,,,
1990-10-11,8.9,,,,
1990-10-12,9.3,,,,
1990-10-13,9.8,,,,
1990-10-14,10.8,,,,
1990-10-15,11,,,,
1990-10-16,10.5,,,,
1990-10-17,10.2,,,,
1990-10-18,10.6,,,,
1990-10-19,9.5,,,,
1990-10-20,9.1,,,,
1990-10-21,6.3,,,,
1990-10-22,5.8,,,,
1990-10-23,6.4,,,,
1990-10-24,6.9,,,,
1990-10-25,6.1,,,,
1990-10-26,2.5,,,,
1990-10-27,2.6,,,,
1990-10-28,5.7,,,,
1990-10-29,4.2,,,,
1990-10-30,3.5,,,,
1990-10-31,3.4,,,,
1990-11-01,4.4,,,,
1990-11-02,3.5,,,,
1990-11-03,3.3,,,,
1990-11-04,2,,,,
1990-11-05,0.8,,,,
1990-11-06,0,,,,
1990-11-07,0.7,,,,
1990-11-08,1.4,,,,
1990-11-09,2.4,,,,
1990-11-10,-0.6,,,,
1990-11-11,1.1,,,,
1990-11-12,3.3,,,,
1990-11-13,4.3,,,,
1990-11-14,2.8,,,,
1990-11-15,4.8,,,,
1990-11-16,3.5,,,,
1990-11-17,5.6,,,,
1990-11-18,4.1,,,,
1990-11-19,0.9,,,,
1990-11-20,1.7,,,,
1990-11-21,2.6,,,,
1990-11-22,1.2,,,,
1990-11-23,1.4,,,,
1990-11-24,0,,,,
1990-11-25,-0.2,,,,
1990-11-26,1.5,,,,
1990-11-27,-0.5,,,,
1990-11-28,-0.2,,,,
1990-11-29,0.2,,,,
1990-11-30,-0.4,,,,
1990-12-01,-1.4,,,,
1990-12-02,-1.7,,,,
1990-12-03,-1.9,,,,
1990-12-04,-1.8,,,,
1990-12-05,-1.6,,,,
1990-12-06,-1.5,,,,
1990-12-07,-1.9,,,,
1990-12-08,-2.1,,,,
1990-12-09,-2.1,,,,
1990-12-10,-1.9,,,,
1990-12-11,-1.1,,,,
1990-12-12,-1.4,,,,
1990-12-13,-1.5,,,,
1990-12-14,-1.5,,,,
1990-12-15,-1.5,,,,
1990-12-16,-1.1,,,,
1990-12-17,0.6,,,,
1990-12-18,-1.4,,,,
1990-12-19,-1.5,,,,
1990-12-20,-1.5,,,,
1990-12-21,-1.5,,,,
1990-12-22,-1.4,,,,
1990-12-23,0,,,,
1990-12-24,-1.6,,,,
1990-12-25,-3.3,,,,
1990-12-26,-3.3,,,,
1990-12-27,-2.4,,,,
1990-12-28,-1.8,,,,
1990-12-29,-2.6,,,,
1990-12-30,0.7,,,,
1990-12-31,1.3,,,,
1991-01-01,0.4,,,,
1991-01-02,0.5,,,,
1991-01-03,3.4,,,,
1991-01-04,3.1,,,,
1991-01-05,0.5,,,,
