Manitou,-11,0,14,50,13.5,spring wheat,Western Canada
AC Readymade,-22.7,49,,50,13.5,winter wheat,Western Canada
Alabaskaja,-24.6,49,,50,13.5,winter wheat,USSR
Azar2,-13.8,32,,50,13.5,winter wheat,Iran
Besostaja 1,-19.4,49,,50,13.5,winter wheat,USSR
Bjorke,-18.5,49,,50,13.5,winter wheat,Sweden
CDC Buteo,-23.3,49,,50,13.5,winter wheat,Western Canada
CDC Falcon,-22.6,49,,50,13.5,winter wheat,Western Canada
Cheyenne,-21.2,49,,50,13.5,winter wheat,Nebraska
Cougar,-28.3,49,,50,13.5,winter rye,Western Canada
Dicktoo,-17.5,0,7,60,13.5,facultative barley,North Dakota
Dover,-15.3,49,,50,13.5,winter barley,Ontario
Gaines,-19,49,,50,13.5,winter wheat,Washington
Gazelle,-11.6,0,18,53,13.5,spring rye,Western Canada
Genessee,-17.2,49,,50,13.5,winter wheat,New York
Ionia,-17.1,49,,50,13.5,winter wheat,Michigan
Jagger,-20,49,,50,13.5,winter wheat,Kansas
Jones Fife,-19.4,49,,50,13.5,winter wheat,New York
Karl 92,-19.8,49,,50,13.5,winter wheat,Kansas
Kharkov,-20.34,49,,50,13.5,winter wheat,
Karkov + Puma,-21.8,49,,50,13.5,winter triticale (8x),
Karkov 22MC,-23.5,49,,50,13.5,winter wheat,Quebec
Kold,-16.7,49,,50,13.5,winter barley,Oregon
Lancota,-19.1,49,,50,13.5,winter wheat,Nebraska
Mironovskaya 808,-19.7,49,,50,13.5,winter wheat,USSR
Morex,-8,0,14,50,13.5,spring barley,Minnesota
Norstar,-24,49,,50,13.5,winter wheat,Western Canada
Penium,-14.3,49,,50,13.5,winter oat,
Puma,-33,49,,50,13.5,winter rye,Western Canada
Random,-7.7,0,14,50,13.5,spring oat,
Redwin,-20.4,49,,50,13.5,winter wheat,Montana
Roughrider,-22.8,49,,50,13.5,winter wheat,North Dakota
Sangaste,-26,49,,50,13.5,winter rye,Estonia
Sardari,-13.8,49,,,13.5,winter wheat,Iran
Scout 66,-21.2,49,,50,13.5,winter wheat,Nebraska
Sisler,-7,0,7,0,13.5,spring barley,Western Canada
Sprague,-19.2,49,,50,13.5,winter wheat,Washington
spring Norstar,-20.3,0,30,50,13.5,spring wheat,
Strider,-17,49,,35,13.5,winter barley,Oregon
Tremois,-13,0,14,50,13.5,spring barley,France
Ulianovkia,-24.7,49,,50,13.5,winter wheat,USSR
Ulianovkia + Kodiak,-22.6,49,,50,13.5,winter triticale (8x),
Winalta,-22,49,,50,13.5,winter wheat,Western Canada
Winter Manitou,-11.6,42,,50,13.5,winter wheat,
Yogo,-23.2,49,,50,13.5,winter wheat,Montana
Yorkstar,-17.7,49,,50,13.5,winter wheat,NE USA & Ontario
Zdar,-13.9,49,,,13.5,winter wheat,Czech Republic
