t,crownTemp
1,12.9
2,14.2
3,15.2
4,14.1
5,13.3
6,11.9
7,11.5
8,12
9,11.5
10,10.9
11,12.3
12,10.7
13,8.9
14,8.8
15,10.1
16,10.5
17,10.5
18,11.7
19,11.2
20,10.5
21,9.4
22,8.9
23,8.7
24,10.7
25,10.5
26,9.3
27,7.9
28,7.2
29,8.1
30,9.1
31,10.4
32,11.4
33,12.2
34,11.3
35,8.9
36,6
37,4.5
38,4.2
39,5
40,5.8
41,4.5
42,3.2
43,3.2
44,4.7
45,5.2
46,4.5
47,5.7
48,4.7
49,3.5
50,3
51,3.6
52,3.8
53,3.8
54,3.8
55,4.3
56,4.1
57,4.3
58,7.1
59,8.7
60,5.8
61,4.4
62,5.4
63,5.7
64,4.4
65,4.6
66,6.1
67,7.2
68,9.3
69,8.7
70,5
71,6.8
72,6.5
73,2.4
74,4.3
75,5.4
76,5.4
77,5.4
78,3.8
79,2.8
80,0.4
81,-1.4
82,-1.2
83,-0.4
84,-0.3
85,-0.1
86,0.1
87,0.6
88,0.4
89,-0.1
90,0.8
91,1.3
92,0.4
93,0.2
94,-0.5
95,-0.3
96,-0.2
97,-0.2
98,-0.2
99,-0.9
100,-2.8
101,-5.4
102,-8.4
103,-9.4
104,-10.2
105,-10.9
106,-12.5
107,-13.4
108,-12.4
109,-15.5
110,-16.3
111,-8.8
112,-6
113,-6.1
114,-5
115,-4.9
116,-5.6
117,-5.6
118,-4.7
119,-5.5
120,-4.9
121,-4.3
122,-4.7
123,-4.8
124,-4.4
125,-4.4
126,-4.7
127,-6.1
128,-6.9
129,-7.1
130,-6.9
131,-7.1
132,-6.8
133,-5.9
134,-5.7
135,-6.8
136,-9.5
137,-9
138,-8
139,-7.3
140,-7.2
141,-5.5
142,-4.5
143,-3
144,-1
145,-0.7
146,-0.7
147,-1.3
148,-2.1
149,-3.6
150,-4.7
151,-4
152,-5.2
153,-4.4
154,-4
155,-8.3
156,-10.1
157,-10.6
158,-9.3
159,-10
