t,crownTemp
2017-09-01,12.9
2017-09-02,14.2
2017-09-03,15.2
2017-09-04,14.1
2017-09-05,13.3
2017-09-06,11.9
2017-09-07,11.5
2017-09-08,12
2017-09-09,11.5
2017-09-10,10.9
2017-09-11,12.3
2017-09-12,10.7
2017-09-13,8.9
2017-09-14,8.8
2017-09-15,10.1
2017-09-16,10.5
2017-09-17,10.5
2017-09-18,11.7
2017-09-19,11.2
2017-09-20,10.5
2017-09-21,9.4
2017-09-22,8.9
2017-09-23,8.7
2017-09-24,10.7
2017-09-25,10.5
2017-09-26,9.3
2017-09-27,7.9
2017-09-28,7.2
2017-09-29,8.1
2017-09-30,9.1
2017-10-01,10.4
2017-10-02,11.4
2017-10-03,12.2
2017-10-04,11.3
2017-10-05,8.9
2017-10-06,6
2017-10-07,4.5
2017-10-08,4.2
2017-10-09,5
2017-10-10,5.8
2017-10-11,4.5
2017-10-12,3.2
2017-10-13,3.2
2017-10-14,4.7
2017-10-15,5.2
2017-10-16,4.5
2017-10-17,5.7
2017-10-18,4.7
2017-10-19,3.5
2017-10-20,3
2017-10-21,3.6
2017-10-22,3.8
2017-10-23,3.8
2017-10-24,3.8
2017-10-25,4.3
2017-10-26,4.1
2017-10-27,4.3
2017-10-28,7.1
2017-10-29,8.7
2017-10-30,5.8
2017-10-31,4.4
2017-11-01,5.4
2017-11-02,5.7
2017-11-03,4.4
2017-11-04,4.6
2017-11-05,6.1
2017-11-06,7.2
2017-11-07,9.3
2017-11-08,8.7
2017-11-09,5
2017-11-10,6.8
2017-11-11,6.5
2017-11-12,2.4
2017-11-13,4.3
2017-11-14,5.4
2017-11-15,5.4
2017-11-16,5.4
2017-11-17,3.8
2017-11-18,2.8
2017-11-19,0.4
2017-11-20,-1.4
2017-11-21,-1.2
2017-11-22,-0.4
2017-11-23,-0.3
2017-11-24,-0.1
2017-11-25,0.1
2017-11-26,0.6
2017-11-27,0.4
2017-11-28,-0.1
2017-11-29,0.8
2017-11-30,1.3
2017-12-01,0.4
2017-12-02,0.2
2017-12-03,-0.5
2017-12-04,-0.3
2017-12-05,-0.2
2017-12-06,-0.2
2017-12-07,-0.2
2017-12-08,-0.9
2017-12-09,-2.8
2017-12-10,-5.4
2017-12-11,-8.4
2017-12-12,-9.4
2017-12-13,-10.2
2017-12-14,-10.9
2017-12-15,-12.5
2017-12-16,-13.4
2017-12-17,-12.4
2017-12-18,-15.5
2017-12-19,-16.3
2017-12-20,-8.8
2017-12-21,-6
2017-12-22,-6.1
2017-12-23,-5
2017-12-24,-4.9
2017-12-25,-5.6
2017-12-26,-5.6
2017-12-27,-4.7
2017-12-28,-5.5
2017-12-29,-4.9
2017-12-30,-4.3
2017-12-31,-4.7
2018-01-01,-4.8
2018-01-02,-4.4
2018-01-03,-4.4
2018-01-04,-4.7
2018-01-05,-6.1
2018-01-06,-6.9
2018-01-07,-7.1
2018-01-08,-6.9
2018-01-09,-7.1
2018-01-10,-6.8
2018-01-11,-5.9
2018-01-12,-5.7
2018-01-13,-6.8
2018-01-14,-9.5
2018-01-15,-9
2018-01-16,-8
2018-01-17,-7.3
2018-01-18,-7.2
2018-01-19,-5.5
2018-01-20,-4.5
2018-01-21,-3
2018-01-22,-1
2018-01-23,-0.7
2018-01-24,-0.7
2018-01-25,-1.3
2018-01-26,-2.1
2018-01-27,-3.6
2018-01-28,-4.7
2018-01-29,-4
2018-01-30,-5.2
2018-01-31,-4.4
2018-02-01,-4
2018-02-02,-8.3
2018-02-03,-10.1
2018-02-04,-10.6
2018-02-05,-9.3
2018-02-06,-10
